favourite_count,retweet_account,time,tweet
373995,68537,2018-12-01 05:36:23,"America has lost a patriot and humble servant in George Herbert Walker Bush. While our hearts are heavy today, they https://t.co/2Gn7sGTG90"
244004,40970,2018-11-21 18:57:58,"I am grateful for the next generation of leaders -- the young people who are tolerant, creative, idealistic and doi https://t.co/Mnydz2BMZX"
140370,20654,2018-11-21 01:37:14,Thanks to the Chicago @FoodDepository team for all you do and to the volunteers who are doing great work and let me https://t.co/noTTWJDrlv
92705,14643,2018-11-18 23:32:03,"When someone shares their story, we see the world through their eyes. Im looking forward to hearing a few from lea https://t.co/4ZM6S85yuU"
92639,16696,2018-11-15 16:43:52,"Our future depends on all our young people, including our boys and young men of color, being able to achieve their https://t.co/TaRXBwtm9v"
540944,66193,2018-11-13 18:37:35,"Of course, @MichelleObamas my wife, so Im a little biased here. But she also happens to be brilliant, funny, wise https://t.co/bhzH5QSA0x"
294629,55566,2018-11-12 03:20:49,"Michelle and I are heartbroken for everybody whos lost so much in California, and grateful for the heroism of the https://t.co/4sNwd1l283"
676870,114432,2018-11-11 16:14:40,To all our veterans and your families: thank you. There's no tribute that can truly match the magnitude of your ser https://t.co/ypSU5ocwN2
327668,52387,2018-11-07 16:13:21,Congratulations to everybody who showed up and participated in our democracy in record numbers yesterday. The chang https://t.co/KtOmsuUdHh
175332,39585,2018-11-06 16:26:40,"Today is the day. Today, its your turn to raise your voice to change the course of this country for the better. So https://t.co/PHQApoHdgr"
71311,18884,2018-11-05 18:46:31,"If you take that power and vote, something powerful happens. Change happens. Hope happens. And with each new step w https://t.co/QwBCsv2WKS"
104816,26372,2018-11-05 18:46:30,"When you vote, you have the power to make it easier for a student to afford college, and harder for a disturbed per https://t.co/IqykmSWOMo"
61486,14104,2018-11-05 18:46:29,"When you vote, you have the power to protect voting rights. To make sure our criminal justice system treats everyon https://t.co/KmjBq77g5M"
53019,11900,2018-11-05 18:46:28,"When we've been at such crossroads before, Americans have made the right choice. Not because we sat back and waited https://t.co/Rrxma5NCX1"
519602,142367,2018-11-05 18:46:27,Tomorrows elections might be the most important of our lifetimes. The health care of millions is on the ballot. Ma https://t.co/9Vw2V9sSLv
57081,21978,2018-11-01 21:20:50,"Speaking of preexisting conditions, open enrollment starts today. If you or someone you know needs health care, vis https://t.co/VKJHRTRNY2"
33886,8812,2018-11-01 18:32:47,"Elections matter. You have the power to protect a familys health care. Make a plan, grab some friends, and vote: https://t.co/rY8Ip1km9p"
74475,22615,2018-11-01 18:32:46,"While we're talking about preexisting conditions, the ACA is the law that finally protected your coverage for preex https://t.co/tixOSz0DNP"
99020,36940,2018-10-31 18:20:55,"Not sure who and what you can vote for? Head over to https://t.co/SHxg6ael0O to look up your state, learn who's run https://t.co/ATph6fzt75"
84533,25458,2018-10-30 15:44:20,Your vote can decide the health care of millions. Your voice can determine the character of our country. You have p https://t.co/ou6DL1g1b6
850405,188137,2018-10-27 21:54:34,We grieve for the Americans murdered in Pittsburgh. All of us have to fight the rise of anti-Semitism and hateful r https://t.co/X9SED9pg8X
248184,100417,2018-10-17 17:21:34,"The last presidential election turned on fewer than 100,000 votes in three states. More people go to Coachella. The https://t.co/JtJlYxwGbf"
97917,18637,2018-10-12 01:51:01,America is always at our best when we look out for each other. Please do what you can to help people recover and re https://t.co/p53FdzYe97
190863,34126,2018-10-11 14:01:16,Im so proud of the work @MichelleObama has done over the years to ensure adolescent girls have access to education https://t.co/oMXzcgI4l2
